graph,frequency
handoff&shop_turn!!!handoff->shop_turn&shop_turn->handoff,5700
handoff&send_image&shop_turn!!!handoff->send_image&handoff->shop_turn&shop_turn->handoff,152
handoff&send_image&shop_turn!!!handoff->send_image&send_image->shop_turn&shop_turn->handoff,319
handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->shop_turn&shop_turn->handoff,431
request#price&send_image&shop_turn!!!request#price->send_image&send_image->shop_turn&shop_turn->request#price,219
request#price&send_image&shop_turn&thank!!!request#price->send_image&send_image->shop_turn&shop_turn->thank,23
send_image&shop_turn&thank!!!send_image->shop_turn&shop_turn->thank&thank->shop_turn,42
ask_if_sells#size&shop_turn&thank!!!shop_turn->ask_if_sells#size&shop_turn->thank&thank->shop_turn,15
ask_if_sells#size&send_image&shop_turn&thank!!!ask_if_sells#size->send_image&shop_turn->ask_if_sells#size&thank->shop_turn,3
ask_if_sells#size&send_image&shop_turn!!!ask_if_sells#size->send_image&send_image->shop_turn&shop_turn->ask_if_sells#size,80
handoff&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->handoff,4733
agree&handoff&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->agree,598
agree&handoff&shop_turn!!!agree->shop_turn&handoff->shop_turn&shop_turn->agree,609
agree&handoff&shop_turn!!!agree->shop_turn&shop_turn->agree&shop_turn->handoff,323
agree&handoff&shop_turn!!!agree->shop_turn&handoff->shop_turn&shop_turn->handoff,249
handoff&inform&shop_turn!!!handoff->shop_turn&shop_turn->handoff&shop_turn->inform,662
handoff&inform&shop_turn!!!handoff->shop_turn&inform->shop_turn&shop_turn->inform,781
agree&inform&shop_turn!!!inform->shop_turn&shop_turn->agree&shop_turn->inform,162
handoff&request#price&send_image&shop_turn!!!handoff->request#price&request#price->send_image&send_image->shop_turn,99
handoff&request#price&send_image&shop_turn!!!request#price->send_image&send_image->shop_turn&shop_turn->handoff,130
agree&handoff&shop_turn!!!handoff->agree&handoff->shop_turn&shop_turn->handoff,46
agree&handoff&shop_turn!!!agree->shop_turn&handoff->agree&shop_turn->handoff,87
agree&handoff&shop_turn!!!handoff->shop_turn&shop_turn->agree&shop_turn->handoff,762
agree&handoff&inform&shop_turn!!!agree->inform&handoff->shop_turn&shop_turn->agree,59
agree&inform&shop_turn!!!agree->inform&inform->inform&shop_turn->agree,20
agree&handoff&inform!!!agree->inform&inform->handoff&inform->inform,6
handoff&inform&shop_turn!!!handoff->shop_turn&inform->handoff&inform->inform,117
greet&handoff&inform&send_image!!!greet->handoff&handoff->inform&send_image->greet,5
greet&handoff&inform&shop_turn!!!greet->handoff&handoff->inform&inform->shop_turn,24
inform&request#price&send_image&shop_turn!!!request#price->send_image&send_image->shop_turn&shop_turn->inform,43
inform&send_image&shop_turn!!!inform->shop_turn&send_image->shop_turn&shop_turn->inform,140
ask_if_sells#size&inform&shop_turn!!!inform->shop_turn&shop_turn->ask_if_sells#size&shop_turn->inform,32
ask_if_sells#size&inform&send_image&shop_turn!!!ask_if_sells#size->send_image&inform->shop_turn&shop_turn->ask_if_sells#size,9
handoff&inform&send_image&shop_turn!!!handoff->inform&send_image->handoff&shop_turn->send_image,52
handoff&inform&send_image&shop_turn!!!handoff->inform&inform->shop_turn&send_image->handoff,96
ask_if_sells#size&handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->handoff&shop_turn->ask_if_sells#size,23
ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->shop_turn&handoff->shop_turn&shop_turn->ask_if_sells#size,128
ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->shop_turn&shop_turn->ask_if_sells#size&shop_turn->handoff,186
ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->shop_turn&handoff->shop_turn&shop_turn->handoff,316
request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->request#price&shop_turn->send_image,891
ask_availability#size&request#price&send_image&shop_turn!!!ask_availability#size->shop_turn&send_image->ask_availability#size&shop_turn->request#price,46
ask_availability#size&request#price&shop_turn!!!ask_availability#size->shop_turn&request#price->shop_turn&shop_turn->request#price,54
agree&request#price&shop_turn!!!request#price->shop_turn&shop_turn->agree&shop_turn->request#price,81
request#price&send_image&shop_turn!!!request#price->shop_turn&shop_turn->request#price&shop_turn->send_image,403
request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->shop_turn&shop_turn->send_image,245
send_image&shop_turn!!!send_image->shop_turn&shop_turn->send_image,79
request#price&send_image&shop_turn!!!send_image->request#price&send_image->shop_turn&shop_turn->send_image,54
ask_if_sells#size&request#price&send_image&shop_turn!!!request#price->ask_if_sells#size&send_image->request#price&shop_turn->send_image,36
ask_if_sells#size&request#price&send_image&shop_turn!!!ask_if_sells#size->shop_turn&request#price->ask_if_sells#size&send_image->request#price,100
handoff&inform&send_image&shop_turn!!!handoff->send_image&send_image->inform&shop_turn->handoff,59
handoff&inform&send_image&shop_turn!!!handoff->send_image&inform->shop_turn&send_image->inform,120
handoff&inform&send_image&shop_turn!!!inform->shop_turn&send_image->inform&shop_turn->handoff,193
handoff&inform&shop_turn!!!handoff->shop_turn&inform->shop_turn&shop_turn->handoff,821
agree&handoff&send_image&shop_turn!!!agree->shop_turn&handoff->send_image&shop_turn->handoff,17
ask_availability#size&handoff&send_image&shop_turn!!!handoff->send_image&send_image->ask_availability#size&shop_turn->handoff,23
ask_availability#size&ask_if_sells#size&handoff&send_image!!!ask_availability#size->ask_if_sells#size&handoff->send_image&send_image->ask_availability#size,1
handoff&request#price&shop_turn!!!request#price->shop_turn&shop_turn->handoff&shop_turn->request#price,454
handoff&request#price&shop_turn!!!handoff->shop_turn&request#price->shop_turn&shop_turn->handoff,810
handoff&inform&shop_turn!!!inform->shop_turn&shop_turn->handoff&shop_turn->inform,645
handoff&shop_turn&thank!!!handoff->shop_turn&shop_turn->handoff&shop_turn->thank,483
inform&request#price&shop_turn!!!inform->inform&inform->request#price&shop_turn->inform,18
inform&request#price&shop_turn!!!inform->inform&inform->request#price&request#price->shop_turn,20
inform&request#price&shop_turn!!!inform->request#price&request#price->shop_turn&shop_turn->inform,79
inform&request#price&shop_turn!!!inform->shop_turn&request#price->shop_turn&shop_turn->inform,195
handoff&request#price&shop_turn!!!handoff->shop_turn&shop_turn->handoff&shop_turn->request#price,295
handoff&request#price&shop_turn!!!handoff->shop_turn&request#price->handoff&shop_turn->request#price,274
handoff&inform&request#price&shop_turn!!!handoff->shop_turn&request#price->handoff&shop_turn->inform,31
handoff&inform&request#price&shop_turn!!!handoff->shop_turn&inform->request#price&shop_turn->inform,32
handoff&inform&request#price&shop_turn!!!inform->request#price&request#price->shop_turn&shop_turn->handoff,41
handoff&request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->request#price&shop_turn->handoff,441
ask_if_sells#size&request#price&send_image&shop_turn!!!ask_if_sells#size->shop_turn&request#price->send_image&shop_turn->request#price,9
request#price&send_image&shop_turn!!!request#price->send_image&send_image->request#price&shop_turn->request#price,24
request#price&send_image&shop_turn!!!request#price->send_image&request#price->shop_turn&send_image->request#price,42
request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->request#price&shop_turn->request#price,78
request#price&shop_turn!!!request#price->shop_turn&shop_turn->request#price,259
handoff&send_image&shop_turn!!!handoff->handoff&handoff->send_image&shop_turn->handoff,74
handoff&inform&send_image!!!handoff->handoff&handoff->send_image&send_image->inform,31
handoff&inform&shop_turn!!!handoff->handoff&inform->shop_turn&shop_turn->handoff,378
handoff&send_image&shop_turn!!!handoff->send_image&handoff->shop_turn&send_image->handoff,267
handoff&send_image&shop_turn&thank!!!handoff->shop_turn&send_image->handoff&shop_turn->thank,46
agree&handoff&shop_turn&thank!!!agree->shop_turn&handoff->agree&shop_turn->thank,7
inform&request#price&shop_turn!!!inform->shop_turn&shop_turn->inform&shop_turn->request#price,132
inform&request#price&shop_turn!!!inform->shop_turn&request#price->shop_turn&shop_turn->request#price,191
handoff&request#price&send_image&shop_turn!!!handoff->shop_turn&send_image->request#price&shop_turn->send_image,277
inform&request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->request#price&shop_turn->inform,136
greet&inform&shop_turn!!!inform->shop_turn&shop_turn->greet&shop_turn->inform,35
greet&inform&shop_turn!!!greet->inform&inform->shop_turn&shop_turn->greet,23
greet&handoff&inform&shop_turn!!!greet->inform&inform->handoff&shop_turn->greet,12
greet&handoff&inform&shop_turn!!!greet->inform&handoff->shop_turn&inform->handoff,18
handoff&inform&shop_turn!!!handoff->shop_turn&inform->handoff&shop_turn->inform,695
handoff&shop_turn&thank!!!handoff->handoff&handoff->shop_turn&shop_turn->thank,270
handoff&shop_turn&thank!!!handoff->shop_turn&shop_turn->thank&thank->shop_turn,343
handoff&shop_turn&thank!!!shop_turn->handoff&shop_turn->thank&thank->shop_turn,147
