message,cluster
Dạ ngoài cửa hàng bên em có rất nhiều mẫu áo dài cho bé đó ạ,4
Dạ hàng bên em ra cửa hàng từ đợt đầu mùa chị ạ. Khách mua trực tiếp hết rồi ạ,4
"K's Closet chào chị ạ. Sản phẩm K242NIF-BK3JA BỘ JUMPER BÉ GÁI có giá 389,000đ sale 50% còn 194,500đ. Bên em có size cho bé từ 3-9 tuổi. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
Em có 2 họa tiết này ạ. Chị muốn check họa tiết nào ạ,7
"Dạ mẫu 1 chị hỏi cho bé trai bên em quần có size của bé ạ. Mẫu 2 chị hỏi cho bé gái áo bên em có size của bé, quần bên em hết rồi ạ.Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",1
Bên em sale tất cả các sản phẩm từ 10-50% chị ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,2
Dạ váy có giá 599.000đ chị ạ. Mẫu đó bên em hết size của bé nhà mình rồi ạ. Chị vui lòng chọn mẫu khác giúp em ạ,9
em chụp mẫu có size 3 cho chị tham khảo nhé,4
Dạ các bạn sẽ gọi báo giá và shp đến chị ạ. Chị để ý điện thoại giúp em ạ,9
Hihi,4
Ngô Thị Mai đã trả lời một quảng cáo.,2
K's Closet cảm ơn chị nhiều ạ,6
Em gửi chị mẫu bên em chị tham khảo ạ,6
Dạ bên em chưa có cơ sở ở Hải Phòng chị ạ,5
"K's Closet chào chị ạ. Sản phẩm B128TES-LT7A0HON - VÁY YẾM BÉ GÁI có giá 259,000đ . Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",0
"Lotte còn size cho bế 11 tuổi, màu nhạt thôi chị ạ.",3
Chào Letrang! Chúng tôi có thể giúp gì cho bạn?,5
Mẫu này shop không có size 1 ạ,4
"Nguyễn Văn Cừ, Lotte, The garden còn size của bé ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",2
Dạ bên em còn size cho bé 04 tuổi ạ,5
Dạ bên em không bán lẻ chị ạ,2
bên em chỉ bán quần áo thoi ạ,4
Dạ áo này bên em có size của bé ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,4
Dạ mong chị thông cảm bên em làm giờ hành chính thôi ạ. Chỉ mua cửa hàng nào ghé cửa hàng đó đổi giúp em nha. Vì hàng hallo bên em cháy hàng nên mong chị thông cảm giúp em,4
bạn ý mặc vừa size 11 tuổi bên em ạ,4
"K's Closet chào chị ạ. Sản phẩm K015TES-FT2BDDAM - QUẦN SOOC JEAN BÉ TRAI có giá 279,000đ sale 20% còn 223.200đ. Bên em có size cho bé 3-9 tuổi. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",1
Thu Lê đã trả lời một quảng cáo.,6
đây nha chị,6
"K's Closet chào chị ạ. Sản phẩm  B168TES-FT1CAXAN - ÁO BÉ GÁI có giá 269,000đ. Bên em có size từ 1-6 tuổi. K184NIS-FT2BDDAM - QUẦN SOOC BÒ BG có giá 259,000đ (bên em có size cho bé 3-9 tuổi). Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",5
