,pattern,sample
0,ask_availability#size&handoff&shop_turn!!!ask_availability#size->shop_turn&handoff->shop_turn&shop_turn->handoff,"['t_1009321132833884', 't_10155254084758478', 't_10155582516351984', 't_10155884218668219', 't_10156018249225770', 't_10156049383450976', 't_10156064898889736', 't_10156831611076221', 't_10156898966594929', 't_10157150297931199', 't_10157184326443160']"
1,ask_availability#size&shop_turn!!!ask_availability#size->shop_turn&shop_turn->ask_availability#size,"['t_10155582516351984', 't_10155884218668219', 't_10156018249225770', 't_10156049383450976', 't_10156064898889736', 't_10156948478828493', 't_10157333529344828', 't_10157387250859828', 't_10157445517413257', 't_10157768139478325', 't_10205065694319886']"
2,handoff&shop_turn&thank!!!handoff->shop_turn&shop_turn->handoff&shop_turn->thank&thank->shop_turn,"['t_1009321132833884', 't_10153728354748186', 't_10156039139437742', 't_10157143529283131', 't_10157333529344828', 't_10157561822893620', 't_10157933132394099', 't_10157947796414281', 't_10158197491688577', 't_10159880730210497', 't_10161239915000363']"
3,agree&handoff&shop_turn!!!agree->handoff&handoff->handoff&handoff->shop_turn&shop_turn->agree,"['t_10100932554248451', 't_10154676773016242', 't_10154705362868505', 't_10156240865307058', 't_10156636579354566', 't_10157238766206262', 't_10157434300399733', 't_10157814828254422', 't_10157830473397128', 't_10157906081545625', 't_10158061060466812']"
4,handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->handoff&shop_turn->handoff&shop_turn->send_image,"['t_1014807975379942', 't_10156240865307058', 't_10156536425278884', 't_10156750714143779', 't_10157228620312212', 't_10157808685891797', 't_10158108481823012', 't_10158188659562572', 't_10158687889047618', 't_10158829673357679', 't_10158939077973678']"
5,request#price&send_image&shop_turn!!!request#price->send_image&send_image->shop_turn,"['t_1000472407068960', 't_1002106096929422', 't_1002403750137905', 't_10154699706540959', 't_10154852349827280', 't_10154954894584911', 't_10155646740539608', 't_10157189956009732', 't_10157215315195229', 't_10157295503887496', 't_10157446736451439']"
6,handoff&request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->request#price&shop_turn->handoff,"['t_1005933953141414', 't_1006055622889533', 't_10154196866534100', 't_10155619383374045', 't_10155827382211937', 't_10155899635763927', 't_10156638428126551', 't_10156739991162969', 't_10156760504546516', 't_10156944344843544', 't_10157108917211363']"
7,inform&send_image&shop_turn!!!inform->shop_turn&send_image->inform,"['t_1003854193323903', 't_1006055622889533', 't_10155646740539608', 't_10156750714143779', 't_10156948478828493', 't_10156978642686511', 't_10157150297931199', 't_10157189956009732', 't_10157276190078402', 't_10157601718010767', 't_10157834055509035']"
8,request#price&send_image&shop_turn!!!request#price->shop_turn&shop_turn->request#price&shop_turn->send_image,"['t_1003406883362420', 't_1014782642060115', 't_10154763945369584', 't_10155237068889113', 't_10155958248843118', 't_10156240865307058', 't_10156696963234767', 't_10156739991162969', 't_10156990487730682', 't_10157333529344828', 't_10157601718010767']"
9,handoff&inform!!!handoff->handoff&inform->handoff,"['t_1002106096929422', 't_1013440875697641', 't_1014807975379942', 't_10154623539170750', 't_10154699706540959', 't_10155611176322508', 't_10156867392242296', 't_10157112562756954', 't_10157143290589674', 't_10157251667328498', 't_10157429216584147']"
