,pattern,frequency
0,request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->request#price&shop_turn->send_image,776
1,send_image!!!send_image->send_image,752
2,handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->shop_turn&shop_turn->handoff,1210
3,request#price&send_image&shop_turn!!!request#price->shop_turn&shop_turn->request#price&shop_turn->send_image,800
4,handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->handoff&shop_turn->handoff&shop_turn->send_image,540
5,agree&handoff&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->agree&shop_turn->handoff,1061
6,handoff&send_image!!!handoff->send_image&send_image->handoff,710
7,handoff&request#price&send_image!!!handoff->send_image&send_image->request#price,928
8,handoff&request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->request#price&shop_turn->handoff,849
9,ask_availability#size&shop_turn!!!ask_availability#size->shop_turn&shop_turn->ask_availability#size,437
10,inform&send_image&shop_turn!!!inform->shop_turn&send_image->inform,670
11,inform&shop_turn!!!inform->inform&inform->shop_turn&shop_turn->inform,443
12,agree&handoff&shop_turn!!!agree->handoff&handoff->handoff&handoff->shop_turn&shop_turn->agree,488
13,handoff&shop_turn&thank!!!handoff->shop_turn&shop_turn->handoff&shop_turn->thank&thank->shop_turn,418
14,ask_availability#size&send_image&shop_turn!!!ask_availability#size->shop_turn&send_image->ask_availability#size,576
15,handoff&inform&shop_turn!!!handoff->shop_turn&inform->handoff&shop_turn->handoff&shop_turn->inform,543
16,request#price&send_image&shop_turn!!!request#price->send_image&send_image->shop_turn,551
17,agree&handoff&shop_turn!!!agree->handoff&handoff->shop_turn&shop_turn->agree&shop_turn->handoff,573
18,handoff&request#price&shop_turn!!!handoff->shop_turn&request#price->shop_turn&shop_turn->handoff&shop_turn->request#price,916
19,handoff&inform&shop_turn!!!handoff->inform&handoff->shop_turn&inform->shop_turn&shop_turn->handoff,558
20,handoff&request#price!!!request#price->handoff,458
21,ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->shop_turn&handoff->shop_turn&shop_turn->handoff,897
22,handoff&inform&shop_turn!!!handoff->shop_turn&inform->shop_turn&shop_turn->handoff&shop_turn->inform,1444
23,ask_availability#size&handoff&shop_turn!!!ask_availability#size->shop_turn&handoff->shop_turn&shop_turn->handoff,696
24,greet&handoff!!!handoff->greet,685
25,greet&shop_turn!!!greet->shop_turn,735
26,ask_if_sells#size&shop_turn!!!ask_if_sells#size->shop_turn&shop_turn->ask_if_sells#size,696
27,handoff&inform&shop_turn!!!handoff->handoff&handoff->shop_turn&inform->shop_turn&shop_turn->handoff,1125
28,handoff&send_image&shop_turn!!!handoff->send_image&send_image->shop_turn&shop_turn->handoff,463
29,send_image&shop_turn!!!send_image->shop_turn&shop_turn->send_image,1177
30,handoff&inform!!!handoff->handoff&inform->handoff,651
31,agree&handoff&shop_turn!!!agree->shop_turn&handoff->shop_turn&shop_turn->agree&shop_turn->handoff,776
32,handoff&shop_turn!!!handoff->shop_turn&shop_turn->handoff,426
33,handoff&shop_turn!!!handoff->shop_turn,1478
34,handoff!!!handoff->handoff,761
35,request#price&shop_turn!!!request#price->shop_turn,440
36,handoff&shop_turn!!!shop_turn->handoff,1045
