sentence,ic,ner
vâng cung đc ạ,agree,O O O O
đúng rôit,agree,O O
vâng ok b nhé,agree,O O O O
dạ đúng rồi ạ,agree,O O O O
vâng e thấy rồi,agree,O O O O
vâng để tớ xem nhé,agree,O O O O O
ừ mình hủy rồi ạ,agree,O O O O O
vâng rành ạ,agree,O O O
vâng theo địa chỉ cũ ạ,agree,O O O O O O
đúng rồi b ạ,agree,O O O O
vâng ok bạn,agree,O O O
vâng đúg rôi a,agree,O O O O
vâng ah để e qua xem,agree,O O O O O O
đúng rồi e nhé,agree,O O O O
vâng nha e nhỏ c ạ,agree,O O O O O O
vâng a khổ thân shop quá khổ thân cả e,agree,O O O O O O O O O O
ôi uh d,agree,O O O
hđúng rồi,agree,O O
à uk,agree,O O
vâng m biết khu ấy rồi,agree,O O O O O O
dạ vâng ạ để e đặt ạ,agree,O O O O O O O
đúng rồi sh ơi,agree,O O O O
vâng thế cũng dc ạ,agree,O O O O O
vâng bạn,agree,O O
vâng chị ơi,agree,O O O
hi vâng th thid tốt quá ạ,agree,O O O O O O O
đúng rồi mình ở hy,agree,O O O O O
vâng ạ bạn tư vấn th thì mình hiểu rồi ạ,agree,O O O O O O O O O O O
vâng thì e vẫn phải dùng thôi,agree,O O O O O O O
dạ vâng a,agree,O O O
vâng ok shop,agree,O O O
à đó đúng rồi,agree,O O O O
vâng để e tham khảo thêm ạ,agree,O O O O O O O
vâng thế để e nghiên cứu,agree,O O O O O O
vâng b,agree,O O
vâng ạ thaks shop,agree,O O O O
dạ đúng roi,agree,O O O
vâng b nha,agree,O O O
ừa gói hàng cẩn thận cho tớ nhé,agree,O O O O O O O O
vâng đợi hàng c là yên tâm lắm,agree,O O O O O O O O
vâng oke b nha,agree,O O O O
uh dung roi baan,agree,O O O O
vâng đành thê a,agree,O O O O
vâng ạ để em vào xem,agree,O O O O O O
uh,agree,O
vâng ksao ạ,agree,O O O
dạ đúng rồi sho,agree,O O O O
vâng oki chị ạ,agree,O O O O
đung roi ban,agree,O O O
vâng e biết r,agree,O O O O
vâng đấy cần nhẹ gọn mang đi ạ,agree,O O O O O O O O
vâng th ạ,agree,O O O
vâng e hiểu mat,agree,O O O O
à vâng e hiểu rồi,agree,O O O O O
vâng ok c ah,agree,O O O O
đúng rồi mình vừa gọi cho bạn,agree,O O O O O O O
vâng,agree,O
đúng rồi em,agree,O O O
đứng roi bạn,agree,O O O
dạ rồi ukj c,agree,O O O O
vâng oke c,agree,O O O
ừa okie b,agree,O O O
ah uh k giống lắm,agree,O O O O O
ừa mình đang thích kiểu đó đấy,agree,O O O O O O O
vâng th thôi c,agree,O O O O
dạ đúng rồi bạn,agree,O O O O
uk,agree,O
vâng dc ạ,agree,O O O
vâng ạh đợi mình báo nhé,agree,O O O O O O
ah vâng th thui,agree,O O O O
vâng để t thử,agree,O O O O
đứng rồi,agree,O O
dạ vâng oke shop,agree,O O O O
dạ vâng ạ,agree,O O O
đung rồi tinh lun b,agree,O O O O O
vâng thế thì e yên tâm rồi ạ,agree,O O O O O O O O
vâng đang háo hức xe quá,agree,O O O O O O
vâng ạ,agree,O O
vâng tks shop có j mình pm lại ạ,agree,O O O O O O O O O
vâng ci,agree,O O
vâng đấy,agree,O O
đúng rồi đó,agree,O O O
vâng đúng r c ơi,agree,O O O O O
vâng tn cug dc c,agree,O O O O O
vâng e cũng k cần luôn,agree,O O O O O O
vâng ạ do mình để trong kho lâu rồi giờ ngại lôi ra quá huhu,agree,O O O O O O O O O O O O O O O
vângh,agree,O
vâng đúng r c,agree,O O O O
à vâng e chưa đọc kĩ,agree,O O O O O O
dung roib,agree,O O
hị hị vâng ạ,agree,O O O O
vâng cũng đc ạ,agree,O O O O
đây nhé,agree,O O
ak dạ vâng,agree,O O O
vâng oke shop,agree,O O O
vâng đúng rồi bạn bạn gửi cho mình theo địa chỉ sy,agree,O O O O O O O O O O O O
vâng đc ạ,agree,O O O
vâng thế m tham khảo thêm có gì m pm lại,agree,O O O O O O O O O O O
vâng để mình tham khảo thêm,agree,O O O O O O
dạ vâng đúng ạ,agree,O O O O
ak vâng a,agree,O O O
đúng rôi bạn,agree,O O O
dạ đúng rồi chị nè,agree,O O O O O
vâng đúng màu e chọn,agree,O O O O O
dạ đúng rồi,agree,O O O
ừ đúng rùi,agree,O O O
vâng đc c ạ,agree,O O O O
vâng nhanh giúp em để em về với,agree,O O O O O O O O
vâng ok shop ak,agree,O O O O
đúng rồi vì ship đến chỗ làm 4h mình nghỉ rồi,agree,O O O O O O O O O O O
vâng địa chỉ cũ ạ,agree,O O O O O
dạ dung roi,agree,O O O
vâng e hay mua bên mình đó,agree,O O O O O O O
dạ vâng thôi chấp nhận vậy huhu,agree,O O O O O O O
vâng để m báo ck m,agree,O O O O O O
vâng c ạ,agree,O O O
he vâng,agree,O O
vâng ko có gì nè,agree,O O O O O
ừa đang tính thế,agree,O O O O
vâng oki b,agree,O O O
dạ vâng the thoi ạ,agree,O O O O O
ah uh,agree,O O
okie dung roi e,agree,O O O O
vâng p,agree,O O
hjx uk,agree,O O
ok b cho t tỉa trọng xe nhé b,agree,O O O O O O O O O
um dung roi shop,agree,O O O O
vâng để m đọc kỹ lại,agree,O O O O O O
dạ vâng ạ hic chờ mỏi mòn c ạ,agree,O O O O O O O O O
đúng rồi b ạh,agree,O O O O
đúng rồi mình cũng thích mẫu này,agree,O O O O O O O
hi ukie e,agree,O O O
đúng rồi nha,agree,O O O
đúng rồi mình vẫn phải làm thế,agree,O O O O O O O
vâng c nhé,agree,O O O
đúng rồi bạn,agree,O O O
vâng ạ mai c nhé,agree,O O O O O
vâng oki bạn ạ,agree,O O O O
đúng roi bạn,agree,O O O
dạ đúng roiif ak,agree,O O O O
vâng lát c qua nha,agree,O O O O O
vâng xa quá thui tẹo mk ck ạ,agree,O O O O O O O O
dung roi dia chi cu,agree,O O O O O
dạ vâng okay bạn,agree,O O O O
vâng bé gaia,agree,O O O
