,conversation_id,message_id,user_message,user_action,shop_message,shop_action
90054,15027,t_10156750714143779,,,,
90055,15027,t_10156750714143779,Cho mình thông tjn bộ này với,handoff,,
90056,15027,t_10156750714143779,,,,
90057,15027,t_10156750714143779,Bộ này nữa,inform,,
90058,15027,t_10156750714143779,,,áo hoolide b250nif giảm 50% còn 189.500 ạ,handoff
90059,15027,t_10156750714143779,Cho mình thông tin cả 2 bộ nhé,handoff,,
90060,15027,t_10156750714143779,Có ship hàng k bạn nhỉ,handoff,,
90061,15027,t_10156750714143779,Nhà m ở ecopark,handoff,,
90062,15027,t_10156750714143779,,,bên mc ó ship ạ,handoff
90063,15027,t_10156750714143779,,,,
90064,15027,t_10156750714143779,"Mình đang rất thích tủ nhà c Thủy, hot mom nổi tiếng trên fb",handoff,,
90065,15027,t_10156750714143779,😊,icon,,
90066,15027,t_10156750714143779,"Sorry, nhắn nhầm",handoff,,
90067,15027,t_10156750714143779,,,áo tim hồng ảnh 1 giảm 50% còn 89.500 ạ,handoff
90068,15027,t_10156750714143779,"Bạn ơi, hnay còn chương trình k nhỉ",handoff,,
90069,15027,t_10156750714143779,Mình quên mâdt đơn,handoff,,
90070,15027,t_10156750714143779,,,bên em vẫn còn chương trịnh sale 50% tất cả áo trừ áo khoác và áo dài ạ,handoff
114471,18916,t_10206919073770717,cửa hàng ở Tây Sơn đóng cửa rồi hả em,handoff,,
114472,18916,t_10206919073770717,em ơi,greet,,
114473,18916,t_10206919073770717,em ời,greet,,
114474,18916,t_10206919073770717,,,Dạ đúng rồi ạ. Em mời chị ghé cửa hàng khác của K's Closet xem đồ cho bé ạ,agree
114475,18916,t_10206919073770717,Chị gần đấy h chạy xa ngại quá,handoff,,
114476,18916,t_10206919073770717,Đi sớm k lại hết mất đồ,handoff,,
114477,18916,t_10206919073770717,,,Gần đó bên em có cửa hàng tại TTTM Royal và 424 Nguyễn Trãi (bên trong nhà sách Tiến Thọ) là gần nhất với chị đó ạ,handoff
114478,18916,t_10206919073770717,,,Mời chị qua cửa hàng mua sắm ạ,handoff
114479,18916,t_10206919073770717,👍,icon,,
114480,18917,t_10206919073770717,,,Nguyễn Phương Anh đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,handoff
114481,18917,t_10206919073770717,,,,
114482,18917,t_10206919073770717,"Em ơi, khi nào bên mình phát khẩu trang hả em",handoff,,
114483,18917,t_10206919073770717,,,"Quà tặng từ K's Closet: MUA 1 TẶNG 1
Cuối tuần này, thân mời mẹ Nguyễn  và bé ghé K's Closet mua sắm và nhận quà nhé !
Chương trình áp dụng duy nhất 3 ngày cuối tuần, từ Thứ 6 (10/01)
---------
* Chương trình không áp dụng với Áo dài.
* Sản phẩm tặng có giá trị bằng hoặc thấp hơn sản phẩm mua.",handoff
114484,18917,t_10206919073770717,,,"Khi nào có khẩu trang bên em sẽ đăng bài trên page để thông báo, chị vui lòng theo dõi page để nắm được thông tin nha",handoff
114485,18917,t_10206919073770717,,,"Bên em đã thông báo những điểm có khẩu trang, chị vào page xem thông tin giúp em nha",handoff
114486,18917,t_10206919073770717,,,,
114487,18918,t_10206919073770717,,,"K's Closet chào chị ạ. https://shopee.vn/shop/93713176/search. Hiện tại bên em đang sale 40% trên shopee, đây là link đặt online trên shopee của K's Closet. Chị vui lòng truy cập xem và sắm đồ cho bé ạ",handoff
114488,18918,t_10206919073770717,,,,
141352,23548,t_10208447920551569,,,"""Daạ sản phẩm chị quan tâm có giá 599.000đ sale 40% còn 359.400đ.Bên em có size 2-10t.Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ	""",handoff
141353,23548,t_10208447920551569,👍👍,icon,,
141354,23548,t_10208447920551569,,,Dạ bên em không bán riêng áo ạ,handoff
103350,16973,t_10212522267850942,chào shop,greet,,
103351,16973,t_10212522267850942,cho mình hỏi khẩu trang cho bé dưới 4 tuổi hiện còn màu gì ạ,handoff,,
103352,16973,t_10212522267850942,,,Bên em hiện chỉ mới có màu trắng thôi chị nhé.,handoff
103353,16973,t_10212522267850942,Cho mình hỏi phó ship giao đến quận 9 nếu đặt 1 hộp là bao nhiêu ạ,handoff,,
103354,16973,t_10212522267850942,,,chị cho em xin địa chỉ chính xác để em check ship ạ.,handoff
103355,16973,t_10212522267850942,"Mình ở Khu Công Nghệ Cao, Quận 9 ạ",handoff,,
103356,16973,t_10212522267850942,,,"Chị cho em xin tên người nhận, số điện thoại, địa chỉ chi tiết (số nhà, đường phố, phường/xã, quận/huyện, tỉnh/thành phố) để em check giá ship và báo chị ạ.",handoff
103357,16973,t_10212522267850942,mình hỏi giá ship trước khi đặt hàng được ko ạ,handoff,,
103358,16973,t_10212522267850942,😁,icon,,
103359,16973,t_10212522267850942,"mình tên Quỳnh Như ở Lô I8-1 Khu Công Nghệ Cao, P. Tân Phú, Quận 9",handoff,,
103360,16973,t_10212522267850942,,,"Phí ship 24.000đ chị nhé, 4-5 ngày chị nhận được hàng ạ.",handoff
103361,16973,t_10212522267850942,vậy cho mình đặt 1 combo 5 khẩu trang size S nhé,handoff,,
103362,16973,t_10212522267850942,"giao giúp mình ở công Ty Jabil - Lô I8-1 Khu Công Nghệ Cao, P. Tân Phú, Quận 9",handoff,,
103363,16973,t_10212522267850942,sđt: 0913 151 093,handoff,,
103364,16973,t_10212522267850942,,,vâng okc ạ,agree
103365,16973,t_10212522267850942,,,,
103366,16973,t_10212522267850942,,,chị chek lại thông tin đơn hàng giúp en nhé ạ,handoff
103367,16973,t_10212522267850942,,,Em nhầm ạ.,handoff
103368,16973,t_10212522267850942,,,,
103369,16973,t_10212522267850942,,,Em gửi lại mình nhé ạ.,handoff
103370,16973,t_10212522267850942,Dạ đúng rồi ạ,agree,,
103371,16973,t_10212522267850942,,,vâng c,agree
103372,16973,t_10212522267850942,Ủa shop ơi,greet,,
103373,16973,t_10212522267850942,"Sao mình thấy trên shopee, khẩu trang có thêm màu vàng nữa mà",handoff,,
103374,16973,t_10212522267850942,,,dạ mỗi hộp có 1 màu chị ạ .hiện tại bên em màu vàng còn size M chị ạ,ask_availability#size
78351,13458,t_10212525870620498,K ạ. Toàn gửi qua đây thui,handoff,,
78352,13458,t_10212525870620498,Hôm trc gửi bằng tk ngân hàng mình thì llõi k gửi đc,handoff,,
78353,13458,t_10212525870620498,Ngân hàng này thì chậm,handoff,,
78354,13458,t_10212525870620498,Từ giờ đến chiều c ktra giúp em nhé. Tại bên em báo trừ tiền và gia dịch thành công r ý,handoff,,
78355,13458,t_10212525870620498,,,vâng c,agree
78356,13458,t_10212525870620498,,,c ơi,greet
78357,13458,t_10212525870620498,,,e nhận dc tiền rồi ạ,handoff
78358,13458,t_10212525870620498,,,c gửi lại giúp e địa chỉ chi tiết và sdt với ạ,handoff
78359,13458,t_10212525870620498,CT3 chung cư bộ tư lệnh thủ đô yên nghĩa hà đông,handoff,,
78360,13458,t_10212525870620498,0965086890 nhé ạ,handoff,,
78361,13458,t_10212525870620498,,,c ơi mai e gọi ship trong ngày 20-25k cho c nhé c,handoff
78362,13458,t_10212525870620498,Okie shop,agree,,
78363,13458,t_10212525870620498,,,dạ vâng ạ,agree
78364,13458,t_10212525870620498,Alo. C gửi tầm nào để e biết ạ,handoff,,
78365,13458,t_10212525870620498,,,e lên đơn cho c bh đây ạ,handoff
78366,13458,t_10212525870620498,👍,icon,,
78367,13458,t_10212525870620498,Nhận đc áo r shop nhé,handoff,,
78368,13458,t_10212525870620498,Áo chất đẹp lắm,handoff,,
78369,13458,t_10212525870620498,Mà sao dáng này của boy mà b nhỉ,handoff,,
78370,13458,t_10212525870620498,,,,
78371,13458,t_10212525870620498,,,dạ chị thông cảm giúp cửa hàng em nhé ạ. Sản phẩm này là bên làm mã gắn nhầm đấy ạ,handoff
78372,13458,t_10212525870620498,,,màu áo này là cho nữ thôi chị ạ không phải nam đâu ạ,handoff
78373,13458,t_10212525870620498,Okie shop,agree,,
78374,13458,t_10212525870620498,,,chị thông cảm về sự cố này bên e nhé ạ. Em cảm ơn ạ,thank
